chair_001_01.obj,0
chair_001_02.obj,0
chair_001_03.obj,0
chair_001_04.obj,0
chair_001_05.obj,0
chair_001_06.obj,0
chair_001_07.obj,0
chair_001_08.obj,0
chair_001_09.obj,0
chair_001_10.obj,0
chair_001_11.obj,0
chair_001_12.obj,0
chair_001_13.obj,0
chair_001_14.obj,0
chair_001_15.obj,0
chair_001_16.obj,0
chair_001_17.obj,0
chair_001_18.obj,0
chair_001_19.obj,0
chair_001_20.obj,0
chair_001_21.obj,0
chair_001_22.obj,0
chair_001_23.obj,0
chair_001_24.obj,0
chair_001_25.obj,0
chair_001_26.obj,0
chair_001_27.obj,0
chair_011_01.obj,1
chair_011_02.obj,1
chair_011_03.obj,1
chair_011_04.obj,1
chair_011_05.obj,1
chair_011_06.obj,0
chair_011_07.obj,0
chair_011_08.obj,0
chair_011_09.obj,0
chair_011_10.obj,0
chair_011_11.obj,1
chair_015_01.obj,0
chair_015_02.obj,0
chair_015_03.obj,0
chair_015_04.obj,1
chair_015_05.obj,0
chair_015_06.obj,0
chair_015_07.obj,0
chair_015_08.obj,0
chair_015_09.obj,0
chair_015_10.obj,0
chair_018_01.obj,1
chair_018_02.obj,0
chair_018_03.obj,0
chair_018_04.obj,0
chair_018_05.obj,0
chair_018_06.obj,0
chair_018_07.obj,0
chair_018_08.obj,0
chair_018_09.obj,0
chair_019_01.obj,1
chair_019_02.obj,1
chair_019_03.obj,1
chair_019_04.obj,1
chair_019_05.obj,1
chair_019_06.obj,1
chair_019_07.obj,1
chair_019_08.obj,1
chair_019_09.obj,0
chair_019_10.obj,0
chair_019_11.obj,0
chair_019_12.obj,0
chair_019_13.obj,0
chair_019_14.obj,0
chair_023_01.obj,1
chair_023_02.obj,1
chair_023_03.obj,1
chair_023_04.obj,1
chair_023_05.obj,2
chair_023_06.obj,0
chair_023_07.obj,0
chair_023_08.obj,0
chair_023_09.obj,0
chair_023_10.obj,1
chair_026_01.obj,1
chair_026_02.obj,1
chair_026_03.obj,1
chair_026_04.obj,0
chair_026_05.obj,0
chair_026_06.obj,0
chair_026_07.obj,0
chair_026_08.obj,1
chair_027_01.obj,1
chair_027_02.obj,0
chair_027_03.obj,0
chair_027_04.obj,1
chair_027_05.obj,0
chair_027_06.obj,0
chair_027_07.obj,0
chair_027_08.obj,0
chair_027_09.obj,0
chair_027_10.obj,0
chair_027_11.obj,0
chair_027_12.obj,0
chair_028_01.obj,0
chair_028_02.obj,0
chair_028_03.obj,0
chair_028_04.obj,0
chair_028_05.obj,0
chair_028_06.obj,1
chair_028_07.obj,0
chair_028_08.obj,0
chair_029_01.obj,1
chair_029_02.obj,1
chair_029_03.obj,0
chair_029_04.obj,0
chair_029_05.obj,0
chair_029_06.obj,0
chair_029_07.obj,0
chair_029_08.obj,0
chair_029_09.obj,0
chair_029_10.obj,0
chair_029_11.obj,0
chair_029_12.obj,0
chair_029_13.obj,0
chair_029_14.obj,0
chair_032_01.obj,0
chair_032_02.obj,0
chair_032_03.obj,0
chair_032_04.obj,1
chair_032_05.obj,0
chair_032_06.obj,0
chair_032_07.obj,0
chair_032_08.obj,0
chair_032_09.obj,0
chair_032_10.obj,0
chair_053_01.obj,1
chair_053_02.obj,1
chair_053_03.obj,1
chair_053_04.obj,1
chair_053_05.obj,0
chair_053_06.obj,0
chair_053_07.obj,0
chair_053_08.obj,0
chair_053_09.obj,0
chair_053_10.obj,0
chair_053_11.obj,0
chair_053_12.obj,0
chair_053_13.obj,0
